,title,developer,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting,item_id,playtime_forever,user_id,recommend,sentiment_score,posted_year
989134,Guns and Robots,Masthead Studios Ltd,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293540,24,76561198078909556,False,2,2015
228352,RollerCoaster Tycoon® 3: Platinum,"Frontier,Aspyr (Mac)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,43,plz2halp,True,0,2014
1100845,Skyrim Script Extender (SKSE),The SKSE Team,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365720,10,TheGoodMister,True,2,2015
830739,Wolfenstein 3D,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,37,SpecialFireBrigade8,True,2,2014
31554,BIT.TRIP RUNNER,Gaijin Games,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63710,92,mikeyg74,True,2,2014
678866,Gear Up,Doctor Entertainment AB,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214420,26,ComputerTheGamer,True,2,2014
685148,Frozen Synapse,Mode 7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98200,76,snakeapple,False,0,2014
1272496,Dwarfs - F2P,Power of 2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213650,1,infin15,True,0,2014
69336,Dead Pixels,CSR-Studios,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222980,32,76561198067214601,True,2,2014
619963,Royal Quest,Katauri,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,295550,15,fgtkms,True,2,2014
991409,Relic Hunters Zero,Rogue Snail,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382490,33,76561198072676817,True,0,2014
281931,Crusader Kings II,Paradox Development Studio,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203770,52,76561198066050451,True,2,2014
900916,Sweezy Gunner,Windybeard,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295730,19,wahlords,True,2,2013
1104420,Fallout 4,Bethesda Game Studios,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377160,42,obeseninja27,True,2,2014
361908,Arma 2: Operation Arrowhead,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33930,75,Azgrai,True,2,2014
1274215,Savage Lands,"Signal Studios,Smart Ghost",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,307880,50,76561198048370828,True,2,2014
333806,Fistful of Frags,Fistful of Frags Team,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265630,6,MrGoldenGaytime,True,2,2014
1292620,Commandos 3: Destination Berlin,Pyro Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840,31,76561198098399688,True,2,2014
19259,Tomb Raider: Anniversary,"Crystal Dynamics,Feral Interactive (Mac)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,13,ED13,True,2,2014
1265837,Battlestations Pacific,Eidos Studio Hungary,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8170,58,76561198066051722,True,2,2014
134383,Disciples III - Resurrection,"Akella,.dat",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200670,20,76561198041284313,False,0,2015
77085,Arma 2: Private Military Company,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65720,1,Frankaloons,True,0,2015
916138,Full Mojo Rampage,Over the Top Games,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,15,76561198012455565,True,2,2010
196667,Ultratron,Puppygames,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219190,41,HubDubs,True,2,2014
210153,Bully: Scholarship Edition,Rockstar New England,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,51,M0les,True,2,2015
391245,Fieldrunners 2,Subatomic Studios LLC,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215710,42,Griffsta,False,0,2014
1035304,Void Destroyer,Iteration 11,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259660,29,BlackadderV,True,2,2014
1117191,Elsword,KOG,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,237310,39,Orifromtheforest,True,2,2014
1238816,Spooky's Jump Scare Mansion,Lag Studios,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,356670,10,76561198095637062,True,2,2013
1339863,The Happy Hereafter,"Alawar,Mirball Games",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306200,1,76561198071238400,True,2,2013
1064808,MechWarrior Online™,Piranha Games Inc.,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,342200,25,76561198024527983,True,2,2012
497382,Killing Floor 2,Tripwire Interactive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232090,97,AnOddBandit,True,0,2015
1197810,Democracy 3,Positech Games,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245470,99,76561198063951820,True,2,2015
1141017,Risen 2: Dark Waters,Piranha Bytes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40390,42,76561198044575627,False,2,2014
286681,Alan Wake's American Nightmare,Remedy Entertainment,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202750,1,thombelcar,True,2,2014
724517,Return to Mysterious Island,Kheops Studio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277110,69,richbags12,True,2,2014
1117736,Monaco: What's Yours Is Mine,Pocketwatch Games,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113020,13,frozout,False,2,2014
221786,Mishap 2: An Intentional Haunting - Collector's Edition,Virtual Prophecy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47570,25,mutatedwombat,True,2,2014
434508,Surgeon Simulator,Bossa Studios,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233720,36,speedyy,True,2,2012
864413,Torchlight II,Runic Games,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200710,33,horizon95,True,2,2014
894978,Max Payne 2: The Fall of Max Payne,Remedy Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12150,50,jadziatuvok,True,2,2015
941976,Wild Warfare,Hyper Hippo Games,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,312150,3,IchMasKung,True,0,2015
312709,XCOM: Enemy Unknown,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200510,84,AD51,True,2,2014
1380354,The Binding of Isaac,Edmund McMillen and Florian Himsl,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113200,40,Xenolitho,True,2,2013
935888,SMITE®,Hi-Rez Studios,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386360,1,assassin_warman,False,2,2014
863892,Grand Theft Auto: San Andreas,Rockstar Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12120,7,brysointer,True,2,2014
813311,A.V.A. Alliance of Valiant Arms™,Red Duck Inc.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102700,1,InjectingMarijuanas,True,2,2015
621955,Withstand: Apotheosis,EpicHouse Studios LLC,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366600,1,NotStomm,True,2,2014
1158477,Quake Live™,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282440,32,Oodan432,True,2,2013
100063,Savage Lands,"Signal Studios,Smart Ghost",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,307880,2,Nightless490,True,2,2013
546755,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20900,11,76561198053804006,True,2,2014
940595,The Escapists,Mouldy Toof Studios,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,298630,53,Stormaggen,True,0,2015
565529,Train Simulator,Dovetail Games,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24010,19,76561198077583455,True,2,2013
289413,Dungeon Siege II,Gas Powered Games,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39200,31,Walker1183,True,2,2015
742786,STAR WARS™ - Dark Forces,LucasArts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,64,76561198009225993,True,2,2014
307086,Crazy Taxi,SEGA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71230,10,thugnificent,True,0,2014
1238460,Portal,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,82,76561198049914517,True,2,2013
1377068,Cortex Command,Data Realms,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209670,23,sexinahatyer,True,0,2014
532910,NightSky,"Nicalis, Inc.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99700,1,76561198032012843,True,0,2013
118349,Alien: Isolation,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214490,75,stormlrd,False,2,2015
126495,Blender,Blender Foundation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,365670,24,76561197995418864,True,2,2014
1203328,Door Kickers,KillHouse Games,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248610,3,76561198060027840,True,0,2014
1463907,NiGHTS Into Dreams,SEGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219950,21,DJEXO,True,2,2014
388403,FATE: Undiscovered Realms,WildTangent,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276890,86,76561198070585472,False,0,2014
1258493,Mount Your Friends,Stegersaurus Software Inc.,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296470,8,76561198086934889,True,2,2015
331244,Counter-Strike,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,Andalel,True,2,2013
476189,Fallout: New Vegas,Obsidian Entertainment,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22380,67,76561198024555488,True,2,2011
778441,Really Big Sky,Boss Baddie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201570,88,MexyMax,True,2,2015
1477845,Cry of Fear,Team Psykskallar,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223710,16,76561198085345522,True,2,2014
1026165,F.E.A.R.,"Monolith Productions, Inc.,Timegate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21090,26,AbuseNab,True,2,2014
1480767,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,CyberConnect2 Co. Ltd.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234670,2,76561198087818012,False,2,2014
1351584,Sonic Adventure 2,SEGA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213610,77,bgsk8282,True,2,2014
1264151,Hurtworld,Bankroll Studios,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,393420,47,76561198038259170,True,2,2014
1446554,A City Sleeps™,"Harmonix Music Systems, Inc",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316180,35,nataaloli,True,2,2014
599072,Trove,Trion Worlds,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,304050,21,ndrss,True,0,2014
625087,Fight The Dragon,3 Sprockets,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250560,14,VRBones,True,2,2014
1358273,TableTop Cricket,Big Ant Studios,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349530,61,76561198144256600,True,2,2015
822008,Blackbay Asylum,TAD Productions AB,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,313140,91,gangstapimpplaya,True,2,2014
1458792,STAR WARS™ Jedi Knight - Mysteries of the Sith™,LucasArts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32390,8,76561198072649686,True,2,2014
446424,Ridge Racer™ Unbounded,BUGBEAR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202310,31,Praiseofdeph,True,2,2014
94359,Risen,Piranha Bytes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40300,13,pretentiouswutangratz,False,0,2014
1436445,Terraria,Re-Logic,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105600,30,x4venom4x,True,2,2014
979358,Lamia Must Die,Tuomo Laine,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385260,1,nitr0ticwolf,True,2,2015
1141643,Ravensword: Shadowlands,Crescent Moon Games,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253410,62,steve_the_pie,True,2,2014
1037583,You Have 10 Seconds 2,Tamationgames,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521570,19,Vri404,True,2,2013
65437,Farming Simulator 2013 Titanium Edition,Giants Software,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220260,31,13lazer,True,2,2012
1207497,Sleeping Dogs: Definitive Edition,"United Front Games,Feral Interactive (Mac)",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,307690,45,76561198101976562,True,0,2014
307114,BioShock® 2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850,51,thugnificent,True,0,2014
56730,Tribes: Ascend,Hi-Rez Studios,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17080,25,AVATAR715,True,2,2015
187521,Fallout: A Post Nuclear Role Playing Game,Interplay Inc.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400,62,FiggidyJiggidy,True,2,2013
169772,Rock of Ages,ACE Team,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22230,4,76561198070549039,False,2,2014
1061579,Warframe,Digital Extremes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230410,33,LucasArthur,True,2,2013
971479,Arma 2: Operation Arrowhead,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33930,79,76561198084019281,True,2,2015
324317,Mass Effect,BioWare,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17460,83,76561198045884541,False,2,2014
832675,AudioSurf,Dylan Fitterer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,35,Qualbert,True,2,2014
1376289,Arma II: DayZ Mod,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224580,12,nexusthedarkpegasus,False,2,2014
1387368,Quake Live™,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282440,10,PenguinAKandreas,True,2,2015
257941,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570,3,ShadowKnight332,True,2,2015
1527173,Fallen Earth Free2Play,Reloaded Productions,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113420,83,Ryufus,True,2,2015
518677,Portal,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,9,Danoli3,True,2,2013
663418,A Virus Named TOM,Misfits Attic,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207650,1,nealsavage,True,2,2014
2366,Max and the Magic Marker,Press Play,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50820,14,chidvd,True,2,2011
1586141,Freestyle 2: Street Basketball,Joycity,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,339610,100,76561198101743006,True,2,2015
142482,Uplink,Introversion Software,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,67,PritchardGSD,True,2,2014
387110,Obludia,FobTi interactive,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314290,94,76561198070585472,True,2,2014
49960,Crush Crush,Sad Panda Studios,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459820,2,KazuichiLovikovSoda,True,2,2014
731099,Dragon Saga,Gravity Interactive,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,381990,13,Bogus88,True,2,2014
132144,Hero Academy,Robot Entertainment,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209270,25,76561198004203858,True,2,2014
472156,ARMA: Cold War Assault,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65790,79,caino2246,True,2,2013
936177,Cosmic DJ,Gl33k,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297110,67,Astrelt,True,2,2012
1186910,"Warhammer 40,000: Dawn of War II","Relic Entertainment,Feral Interactive (Mac/Linux)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15620,27,TsarFeck,True,2,2014
756692,Grim Fandango Remastered,Double Fine Productions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,316790,72,nessofonett,True,0,2014
998316,Romero's Aftermath,Free Reign Entertainment,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,349700,2,OFFICIALDRTECHNO,True,2,2014
470214,Three Days,"Lewis Bergin,GorePixelGames",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375580,1,spinefarm,True,2,2013
389301,eversion,Zaratustra Productions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33680,56,76561198070585472,True,2,2014
428956,Half-Life,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,ArrestMe,True,2,2014
603283,Amnesia: The Dark Descent,Frictional Games,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57300,67,Letachal,True,2,2012
848858,Paranautical Activity: Deluxe Atonement Edition,Digerati Distribution,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250580,16,JagerIsAmazing,True,0,2014
1483091,Velvet Sundown,Tribe Studios,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,307290,8,76561198089523994,True,2,2014
403413,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6060,83,76561198046696025,True,2,2014
981523,Gear Up,Doctor Entertainment AB,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214420,12,76561198098346223,True,2,2014
146579,World of Goo,2D BOY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,3,Diabolum,True,2,2015
403557,Insurgency,New World Interactive,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222880,51,jiumohoo,True,2,2014
1064001,Not The Robots,2DArray,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257120,59,pancakesss,True,2,2014
719347,Geneforge 1,Spiderweb Software,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200960,1,Outbackalien,True,0,2015
1277087,RaceRoom Racing Experience,Sector3 Studios,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211500,80,cooljeeves,True,2,2015
609737,Windward,Tasharen Entertainment Inc.,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,326410,28,xexilex,True,2,2015
947972,ARMA: Cold War Assault,Bohemia Interactive,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65790,45,76561198093191096,True,2,2014
52726,The Forest of Doom,Tin Man Games,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,270490,81,inven,True,2,2015
739245,Defence Alliance 2,Defence Alliance Team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35420,1,johnvu3,True,2,2015
1440719,Counter-Strike Nexon: Zombies,Nexon,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,273110,41,r1nol3l,True,0,2015
864823,Grand Theft Auto: Vice City,Rockstar Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12110,36,mrmutantduck,True,2,2014
1096132,Dungeon Defenders II,Trendy Entertainment,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236110,32,ADSKILLER,True,2,2014
570128,Enforcer: Police Crime Action,Odin Game Studio,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318220,80,lostcarpet,True,2,2015
461190,Resident Evil 6 / Biohazard 6,Capcom,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221040,72,-SEVEN-,False,2,2014
1583786,MechWarrior Online™,Piranha Games Inc.,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,342200,11,76561198046412025,False,2,2015
595628,Realm of the Mad God,Wild Shadow Studios,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200210,19,brendoboy,False,2,2014
1454330,Wargame: Airland Battle,Eugen Systems,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222750,17,shrubthebush,True,2,2014
1430064,8BitBoy™,AwesomeBlade,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296910,12,76561198056822819,True,2,2013
1500355,Tomb Raider,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203160,97,ethanbradberrry,True,2,2015
775685,Snuggle Truck,Owlchemy Labs,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111100,17,76561198026239418,True,2,2012
1223683,Trove,Trion Worlds,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,304050,64,KurusuElVAC,True,2,2015
